,X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW,x_en,y_en,LAT,LON
360,-95.8242,44.3361,361,56826,Marshall Wind 4 LLC,"Marshall Wind Farm, LLC",63166,IPP Non-CHP,Marshall,Lyon,Minnesota,56258,1951 County Road 7,wind,4.2,4.2,0,0.0,0,0,0,0,0.0,4.2,Wind = 4.2 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.3361,-95.8242,0,0.0,0,0,-10667101.149672806,5517602.610515278,44.3361,-95.8242
361,-95.8344,44.3303,362,56827,Marshall Wind 5 LLC,"Marshall Wind Farm, LLC",63166,IPP Non-CHP,Marshall,Lyon,Minnesota,56258,1926 230th Avenue,wind,2.1,2.1,0,0.0,0,0,0,0,0.0,2.1,Wind = 2.1 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.3303,-95.8344,0,0.0,0,0,-10668236.608478896,5516699.962739787,44.3303,-95.8344
362,-95.8297,44.3308,363,56828,Marshall Wind 6 LLC,"Marshall Wind Farm, LLC",63166,IPP Non-CHP,Marshall,Lyon,Minnesota,56258,1926 230th Avenue,wind,2.1,2.1,0,0.0,0,0,0,0,0.0,2.1,Wind = 2.1 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.3308,-95.8297,0,0.0,0,0,-10667713.406872168,5516777.773687134,44.3308,-95.8297
363,-70.5258,45.3853,364,56829,Kibby Wind Facility,"Helix Maine Wind Development, LLC",61191,IPP Non-CHP,Chain of Ponds,Franklin,Maine,4936,3647 The Arnold Trail,wind,132.0,132.0,0,0.0,0,0,0,0,0.0,132.0,Wind = 132 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,45.3853,-70.5258,0,0.0,0,0,-7850896.143788254,5682384.419259453,45.3853,-70.5258
364,-92.473611,43.397778,365,56831,Crane Creek Wind Energy Center,Wisconsin Public Service Corp,20860,Electric Utility,Riceville,Howard,Iowa,50466,E.of Addison S. of 50th St,wind,99.0,15.9,0,0.0,0,0,0,0,0.0,15.9,Wind = 15.9 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,43.397778,-92.473611,0,0.0,0,0,-10294115.288335262,5372715.042492048,43.397778,-92.473611
365,-101.54,35.3503,366,56834,High Plains,High Plains Wind Power LLC,56046,IPP Non-CHP,Panhandle,Carson,Texas,79068,536 FM293,wind,10.0,10.0,0,0.0,0,0,0,0,0.0,10.0,Wind = 10 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.3503,-101.54,0,0.0,0,0,-11303381.095149,4211588.001678731,35.3503,-101.54
366,-101.9789,35.8119,367,56835,Ribeye Wind (11) LLC,GlidePath Power Operations LLC,61728,IPP Non-CHP,Dumas,Moore,Texas,79029,10655 US Highway 287,wind,10.0,10.0,0,0.0,0,0,0,0,0.0,10.0,Wind = 10 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.8119,-101.9789,0,0.0,0,0,-11352239.219658166,4274769.874139969,35.8119,-101.9789
367,-101.9986,35.8081,368,56836,T-Bone Wind (10) LLC,GlidePath Power Operations LLC,61728,IPP Non-CHP,Dumas,Moore,Texas,79029,6000 Stallwitz Road,wind,10.0,10.0,0,0.0,0,0,0,0,0.0,10.0,Wind = 10 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.8081,-101.9986,0,0.0,0,0,-11354432.213626795,4274248.253872605,35.8081,-101.9986
368,-101.8033,35.9614,369,56837,Tri-Tip Wind (9) LLC,GlidePath Power Operations LLC,61728,IPP Non-CHP,Sunray,Moore,Texas,79086,11572 Texas Beef Road,wind,10.0,10.0,0,0.0,0,0,0,0,0.0,10.0,Wind = 10 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.9614,-101.8033,0,0.0,0,0,-11332691.517074866,4295311.370606097,35.9614,-101.8033
369,-101.8614,36.0075,370,56838,Brisket Wind (8) LLC,GlidePath Power Operations LLC,61728,IPP Non-CHP,Sunray,Moore,Texas,79086,11896 Light Plant Road,wind,10.0,10.0,0,0.0,0,0,0,0,0.0,10.0,Wind = 10 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,36.0075,-101.8614,0,0.0,0,0,-11339159.179489957,4301653.409557354,36.0075,-101.8614
